boundary,construction,dimensions,fig_count,floor,location,open_sides,price,price_per_sqft,transaction,type,garden_park,main_road,pool,width_road,area
Yes,Yes,45 X 32,10,5,Rajarhat,2,23,1597,New Property,Residential Land / Plot,1,1,0,30,1440
Yes,Yes,60 X 60,5,4,Action Area 3,1,60.5,1681,New Property,Residential Land / Plot,1,1,0,8,3600
No,No,,19,,Joka,2,1.4,194,New Property,Residential Land / Plot,0,1,0,25,720
Yes,No,49.2 X 32.8,2,4,Action Area 3,1,90,5574,Resale,Residential Land / Plot,0,1,0,13,1615
No,No,42 X 40,5,Congo,Badu,4,9.5,565,Resale,Residential Land / Plot,1,1,0,3,1680
Yes,No,,1,,Belghoria,2,16.5,1941,Resale,Residential Land / Plot,0,0,0,2,850
No,No,32 X 45,7,,Joka,1,5,347,New Property,Residential Land / Plot,1,1,0,5,1440
No,No,86.6 X 41.3,0,Congo,Cossipore,4,45,1613,Resale,Residential Land / Plot,0,0,0,10,2790
No,No,,7,1,Howrah,1,55,2644,Resale,Residential Land / Plot,0,0,0,3,2080
No,No,,2,3,Joka,3,2,139,Resale,Residential Land / Plot,0,0,0,25,1440
No,No,,3,Congo,Thakurpukur,3,2.7,188,Resale,Residential Land / Plot,0,0,0,25,1440
No,No,84.99 X 48.24,3,1,Ashoknagar,3,25,610,Resale,Residential Land / Plot,1,0,0,10,4100
No,No,40 X 18,9,Congo,Joka,2,1.4,194,Resale,Residential Land / Plot,1,1,0,25,720
No,No,,2,3,"Singur, Nasibpur Road",2,300,694,Resale,Residential Land / Plot,0,0,0,3,43200
Yes,No,,9,,Sonarpur,2,35.1,595,Resale,Residential Land / Plot,0,0,0,10,5895
No,No,,1,Congo,Nazirabad,3,8.5,472,Resale,Residential Land / Plot,0,0,0,45,1800
Yes,No,,5,2,Debendra Pally,2,40,588,Resale,Residential Land / Plot,1,0,0,10,6806
Yes,No,,4,1,Baruipur,4,210,1458,New Property,Residential Land / Plot,1,1,0,10,14400
No,No,,1,,Bhasa,4,70,648,Resale,Residential Land / Plot,0,0,0,9,10800
Yes,Yes,,13,2,Joka,2,1.6,111,Resale,Residential Land / Plot,0,0,0,20,1440
No,No,81 X 53.58,4,,Joka,,15,346,Resale,Residential Land / Plot,1,1,0,,4340
No,No,,0,20,Bagnan,4,45,2066,Resale,Residential Land / Plot,0,0,0,10,2178
No,No,,0,Congo,Baruipur,1,16,556,Resale,Residential Land / Plot,0,0,0,10,2880
Yes,No,47 X 33,0,,Sodepur,2,24.5,1701,Resale,Residential Land / Plot,0,0,0,3,1440
No,No,429 X 295,0,2,Hooghly,2,7.5,521,Resale,Residential Land / Plot,0,1,0,4,1440
Yes,No,,1,3,Nayabad,2,60,4167,Resale,Residential Land / Plot,0,0,0,7,1440
No,No,,1,Congo,Sonarpur,1,16,1067,Resale,Residential Land / Plot,0,0,0,10,1500
No,No,,1,Congo,Sarsuna,2,45,1250,Resale,Residential Land / Plot,0,0,0,32,3600
No,No,,0,,Jagatdal,2,10,694,Resale,Residential Land / Plot,0,0,0,3,1440
No,No,,7,1,Howrah,1,55,2644,Resale,Residential Land / Plot,0,0,0,3,2080
Yes,Yes,,0,5,Terita Bazar,,150,1488,Resale,Residential Land / Plot,0,0,0,,10080
No,No,,0,3,Batanagar,3,15,694,Resale,Residential Land / Plot,0,0,0,2,2160
Yes,No,,4,3,"International Airport, Dum Dum, Jessore Road",2,58,4028,Resale,Residential Land / Plot,0,1,0,14,1440
No,No,,1,6,Rajpur,3,65,1290,Resale,Residential Land / Plot,0,0,0,5,5040
Yes,No,88.99 X 46.97,1,3,"Anandapuri, Barrackpore",1,110,2632,Resale,Residential Land / Plot,0,0,0,3,4180
Yes,No,,1,,"New Garia, Garia",1,60,3509,Resale,Residential Land / Plot,0,1,0,5,1710
Yes,Yes,,4,,Joka,1,1.6,222,Resale,Residential Land / Plot,0,0,0,8,720
No,Yes,966 X 1073,11,4,Action Area 3,4,17,1181,New Property,Residential Land / Plot,1,1,0,20,1440
No,No,,3,Congo,Baranagar,2,35,2160,Resale,Residential Land / Plot,0,0,0,10,1620
No,No,81 X 53.58,4,,Joka,,15,346,Resale,Residential Land / Plot,1,1,0,,4340
Yes,No,,0,4,Sonarpur,,15,694,Resale,Residential Land / Plot,0,0,0,,2160
No,No,,0,,"Kankulia, Dhakuria",4,1500,3472,Resale,Residential Land / Plot,0,0,0,10,43200
No,Yes,24 X 30.42,20,,Joka,2,3.6,492,New Property,Residential Land / Plot,1,1,0,15,730
No,No,,0,,Birati,,100,2778,New Property,Residential Land / Plot,0,0,0,,3600
No,No,80 X 40,2,5,New Town,2,187,5844,Resale,Residential Land / Plot,1,1,0,20,3200
No,No,80 X 40,2,5,New Town,2,187,5844,Resale,Residential Land / Plot,0,1,0,20,3200
Yes,No,,0,,Duillya,2,27,1484,Resale,Residential Land / Plot,0,0,0,4,1820
No,No,,1,,Joka,1,3.5,486,Resale,Residential Land / Plot,0,0,0,4,720
No,No,,1,,Bantala,,280,1051,New Property,Residential Land / Plot,0,1,0,,26640
No,No,53 X 38,0,3,"Narendrapur, Rajpur Sonarpur",2,30,1490,Resale,Residential Land / Plot,0,1,0,10,2014
No,No,,6,Congo,Joka,1,11,382,Resale,Residential Land / Plot,0,0,0,20,2880
Yes,No,,0,1,Rajarhat,,200,2525,Resale,Residential Land / Plot,0,0,0,,7921
No,No,120 X 120,7,3,Bisharpara,3,68,472,Resale,Residential Land / Plot,0,1,0,10,14400
Yes,No,,0,1,Rishra,,250,1578,Resale,Residential Land / Plot,0,0,0,,15840
Yes,No,,0,3,Howrah,,10,690,Resale,Residential Land / Plot,0,0,0,,1450
No,No,,0,,Habra,4,36,1111,Resale,Residential Land / Plot,0,0,0,2,3240
Yes,Yes,53.7 X 40.2,0,4,Kankurgachi,4,80,3703,Resale,Residential Land / Plot,0,0,0,25,2160
Yes,No,,0,3,"Kamrabad, Narendrapur",2,33,1521,Resale,Residential Land / Plot,0,0,0,3,2169
Yes,No,,4,,New Town,,200,2105,Resale,Residential Land / Plot,0,0,0,,9500
No,No,45 X 32,3,1,Debrupayan Nagar,1,15,1042,Resale,Residential Land / Plot,1,1,0,32,1440
Yes,Yes,160 X 156.25,0,1,"Kamalgazi, Narendrapur",2,350,1400,Resale,Residential Land / Plot,0,0,0,4,25000
No,No,40 X 36,17,,Joka,2,8.5,590,New Property,Residential Land / Plot,1,1,0,15,1440
No,No,,2,Congo,Joka,3,2.5,174,Resale,Residential Land / Plot,0,0,0,20,1440
No,No,,0,1,Metiabruz,1,200,1389,Resale,Residential Land / Plot,0,0,0,1,14400
Yes,Yes,50 X 42,14,4,Joka,2,11.3,538,New Property,Residential Land / Plot,1,1,0,10,2100
Yes,No,,3,15,Pailan,4,15,1042,Resale,Residential Land / Plot,0,0,0,7,1440
Yes,Yes,50 X 14.4,11,4,Joka,2,4,556,New Property,Residential Land / Plot,1,1,0,10,720
Yes,Yes,50 X 21.6,13,4,Joka,2,6,556,New Property,Residential Land / Plot,1,1,0,10,1080
Yes,Yes,90 X 40,24,5,New Town,2,41.1,1143,New Property,Residential Land / Plot,0,1,0,10,3600
Yes,Yes,50 X 28.8,7,4,Joka,2,8,556,New Property,Residential Land / Plot,1,1,0,10,1440
No,No,,0,,"Dash Drone, Rajarhat, New Town",2,52.6,2160,Resale,Residential Land / Plot,0,0,0,10,2435
No,No,,0,Congo,New Town,2,30,2083,New Property,Residential Land / Plot,0,0,0,10,1440
Yes,Yes,,0,1,Rahara,,40,2667,Resale,Residential Land / Plot,0,0,0,,1500
Yes,Yes,,0,,Jagtala,2,108,1315,Resale,Residential Land / Plot,0,0,0,8,8211
No,No,,0,3,Harish Nagar,,43.5,486,Resale,Residential Land / Plot,0,0,0,,8956
No,Yes,48 X 30,4,Congo,Joka,4,2,139,Resale,Residential Land / Plot,0,1,0,10,1440
No,No,49 X 33.06,6,5,Action Area 3,1,95,5864,Resale,Residential Land / Plot,0,1,0,13,1620
Yes,No,,1,,Mukundapur,,42,2917,Resale,Residential Land / Plot,0,1,0,,1440
No,No,,0,4,Nayabad,1,60,2778,Resale,Residential Land / Plot,0,0,0,6,2160
Yes,No,,0,,Subhasgram,,9,625,Resale,Residential Land / Plot,0,0,0,,1440
Yes,Yes,35 X 41.14,24,5,New Town,2,16.2,1125,New Property,Residential Land / Plot,0,1,0,10,1440
No,No,,0,,"Rabindra Nagar, Alipore",,150,3473,Resale,Residential Land / Plot,0,0,0,,4320
No,No,,15,,Howrah,,120,1515,New Property,Residential Land / Plot,0,1,0,,7921
No,No,24 X 30,14,,"Diamond Park, Joka",1,3.9,540,New Property,Residential Land / Plot,1,1,0,24,720
No,No,48 X 75,3,6,Sonarpur,2,35,972,New Property,Residential Land / Plot,0,1,0,6,3600
No,No,,0,4,Belghoria,1,39,1653,Resale,Residential Land / Plot,0,0,0,6,2360
Yes,No,,0,,New Town,2,9,417,Resale,Residential Land / Plot,0,0,0,30,2160
Yes,No,52 X 29,1,1,Rajarhat,2,20,1326,Resale,Residential Land / Plot,0,1,0,5,1508
No,No,,0,Congo,Garia,2,29.5,1686,Resale,Residential Land / Plot,0,0,0,10,1750
Yes,Yes,60 X 30,0,5,Action Area 3,2,22.5,1250,New Property,Residential Land / Plot,0,1,0,10,1800
Yes,Yes,70 X 30.86,24,7,Action Area 3,2,26.5,1225,New Property,Residential Land / Plot,0,1,0,10,2160
Yes,Yes,,1,,Rajpur Sonarpur,2,200,1389,Resale,Residential Land / Plot,0,0,0,10,14400
No,No,,0,,Deshbandhu Road,2,43,1991,Resale,Residential Land / Plot,0,0,0,3,2160
No,Yes,24 X 30,15,,"Diamond Park, Joka",1,2,278,New Property,Residential Land / Plot,1,1,0,25,720
No,No,,2,3,Joka,3,2,139,Resale,Residential Land / Plot,0,0,0,25,1440
Yes,Yes,35 X 41.14,24,5,New Town,2,16.6,1150,New Property,Residential Land / Plot,0,1,0,10,1440
No,No,,0,,Behala,2,300,4166,Resale,Residential Land / Plot,0,0,0,16,7201
Yes,No,24 X 30,8,2,"Diamond Park, Joka",4,1,139,New Property,Residential Land / Plot,1,1,0,20,720
Yes,No,,0,3,Mukundapur,,25,1761,Resale,Residential Land / Plot,0,0,0,,1420
No,No,,1,,New Town,3,95,4398,Resale,Residential Land / Plot,0,0,0,10,2160
Yes,No,,0,,Subhasgram,1,25,289,Resale,Residential Land / Plot,0,0,0,30,8641
Yes,No,1637 X 1610,3,4,Thakurpukur,2,65,1805,Resale,Residential Land / Plot,0,0,0,6,3600
No,No,,0,,Joka,1,12,667,Resale,Residential Land / Plot,0,0,0,30,1800
Yes,No,,1,3,Sonarpur,1,21,1419,Resale,Residential Land / Plot,0,0,0,6,1480
No,No,,0,,Joka,2,21,972,Resale,Residential Land / Plot,1,0,0,7,2160
Yes,No,69 X 40.6,0,,Garia,3,112,4019,Resale,Residential Land / Plot,0,1,0,8,2799
Yes,No,465 X 376,2,4,"Panchasayar, Garia",4,40,1852,Resale,Residential Land / Plot,0,0,0,4,2160
Yes,Yes,104 X 50,3,1,Nayabad,3,105,2019,Resale,Residential Land / Plot,0,0,0,12,5200
No,No,30 X 48,3,3,Sonarpur,1,6,417,New Property,Residential Land / Plot,0,1,0,20,1440
Yes,No,,0,5,Rajarhat,,180,2250,Resale,Residential Land / Plot,0,0,0,,8000
Yes,No,,1,4,Harinavi,3,40,2020,Resale,Residential Land / Plot,0,0,0,4,1980
Yes,Yes,,6,,Nabadwip,4,120,1389,Resale,Residential Land / Plot,1,0,0,10,8640
No,Yes,24 X 30,13,Congo,Joka,2,3.5,318,New Property,Residential Land / Plot,1,1,0,20,1100
No,No,,0,,Belur,1,8,667,Resale,Residential Land / Plot,0,0,0,12,1200
No,No,,2,,Action Area 3,2,22.5,1786,Resale,Residential Land / Plot,1,0,0,7,1260
Yes,Yes,,0,3,Garia,3,25,694,Resale,Residential Land / Plot,0,0,0,42,3600
No,No,,0,,New Town,2,45,2083,Resale,Residential Land / Plot,1,0,0,8,2160
No,No,,1,Congo,Rajarhat,2,28,1944,Resale,Residential Land / Plot,1,0,0,8,1440
No,No,,0,,Pailan,2,35,972,Resale,Residential Land / Plot,1,0,0,7,3600
No,No,,0,Congo,Kanchrapara,1,40,533,Resale,Residential Land / Plot,0,0,0,10,7500
No,No,24 X 30,12,,Joka,1,3.5,486,New Property,Residential Land / Plot,1,1,0,20,720
No,No,,0,,Hridaypur,2,20,1818,Resale,Residential Land / Plot,0,0,0,5,1100
No,No,,0,10,"Durgapur, Dhapa",,90,2083,Resale,Residential Land / Plot,0,0,0,,4320
Yes,No,,0,2,Purba Putiary,1,18,1250,Resale,Residential Land / Plot,0,0,0,2,1440
Yes,No,,0,3,Madhyamgram,,8.5,787,Resale,Residential Land / Plot,0,0,0,,1080
Yes,No,,0,1,Sonarpur,,144,1200,Resale,Residential Land / Plot,0,0,0,,12000
Yes,Yes,,5,,Joka,2,3.2,222,Resale,Residential Land / Plot,0,0,0,20,1440
No,No,,0,,Kandarpopur Town,1,130,2131,Resale,Residential Land / Plot,0,0,0,10,6100
No,No,,2,2,Garia,,17,944,Resale,Residential Land / Plot,0,0,0,,1800
No,No,45 X 32,0,2,Bibirhat,2,30,2083,Resale,Residential Land / Plot,0,0,0,2,1440
No,No,44 X 30.68,4,3,Joth Shibrampur,2,26.3,1944,Resale,Residential Land / Plot,0,0,0,3,1350
Yes,No,,0,3,Dankuni,,22,1528,Resale,Residential Land / Plot,0,0,0,,1440
Yes,No,30 X 24,7,3,Joka,4,1,139,New Property,Residential Land / Plot,1,1,0,8,720
Yes,Yes,36 X 40,2,3,"Amtala, Diamond Harbour Road",1,10,694,New Property,Residential Land / Plot,0,1,0,6,1440
Yes,Yes,18 X 40,2,3,"Amtala, Diamond Harbour Road",1,5.1,708,New Property,Residential Land / Plot,0,1,0,6,720
No,No,,0,3,Kheyadah,3,14,402,Resale,Residential Land / Plot,0,0,0,18,3484
Yes,Yes,,2,3,"Naktala, Garia",2,135,352,Resale,Residential Land / Plot,0,0,0,6,38350
No,No,30 X 48,1,3,Diamond Harbour Road,2,14,972,New Property,Residential Land / Plot,0,0,0,7,1440
No,No,,0,,Birlapur,3,13,301,Resale,Residential Land / Plot,0,0,0,6,4320
No,No,960 X 960,10,,"Ghola, Sodepur",1,19,660,New Property,Residential Land / Plot,0,1,0,13,2880
No,No,43.75 X 24,1,3,"Adarsha Pally, Belghoria",3,35,3333,Resale,Residential Land / Plot,0,1,0,10,1050
No,No,,1,,Action Area 3,1,20,694,Resale,Residential Land / Plot,0,0,0,10,2880
Yes,Yes,18 X 40,0,3,"Amtala, Diamond Harbour Road",1,5,694,New Property,Residential Land / Plot,0,0,0,6,720
Yes,Yes,50 X 43.2,8,4,Joka,2,6,278,New Property,Residential Land / Plot,1,1,0,7,2160
No,Yes,,10,4,Action Area 3,4,10,154,New Property,Residential Land / Plot,0,1,0,7,6480
Yes,No,42 X 34.3,4,2,Madhyamgram,2,50,3472,Resale,Residential Land / Plot,0,1,0,4,1440
Yes,Yes,,2,5,Subhasgram,2,150,401,Resale,Residential Land / Plot,0,0,0,10,37440
Yes,Yes,,1,5,Uchhepota,2,19,905,Resale,Residential Land / Plot,0,0,0,20,2100
No,No,,6,,Joka,2,12,556,Resale,Residential Land / Plot,0,0,0,15,2160
No,No,,8,,Joka,1,7,389,Resale,Residential Land / Plot,0,0,0,20,1800
Yes,No,,0,2,Thakurpukur,,300,1377,Resale,Residential Land / Plot,0,0,0,,21780
No,No,,0,3,Chakdaha,,28,1296,Resale,Residential Land / Plot,0,0,0,,2160
Yes,Yes,,1,2,Joka,,4,278,Resale,Residential Land / Plot,0,0,0,,1440
No,No,24 X 30,3,,Joka,1,3.3,451,New Property,Residential Land / Plot,1,1,0,20,720
No,No,,0,,Baruipur,,400,1543,Resale,Residential Land / Plot,0,0,0,,25920
No,Yes,45 X 32,14,,Joka,2,2.8,194,New Property,Residential Land / Plot,1,1,0,25,1440
Yes,Yes,45 X 64,4,3,Joka,2,6.4,222,New Property,Residential Land / Plot,1,1,0,7,2880
Yes,Yes,45 X 64,5,3,Joka,3,8,278,New Property,Residential Land / Plot,1,1,0,7,2880
No,No,,0,20,Bagnan,4,45,2066,Resale,Residential Land / Plot,0,0,0,10,2178
No,No,40 X 55,0,1,Khalisha Kota,2,36,1636,Resale,Residential Land / Plot,0,1,0,4,2200
No,No,45 X 24.44,3,,Joka,1,4,364,New Property,Residential Land / Plot,1,0,0,20,1100
Yes,No,,0,,Bakkhali,3,100,571,Resale,Residential Land / Plot,0,0,0,10,17500
No,No,,1,,Joka,2,3.5,486,Resale,Residential Land / Plot,0,0,0,10,720
Yes,Yes,,0,5,"Narendrapur, Rajpur Sonarpur",3,160,1587,Resale,Residential Land / Plot,0,0,0,15,10080
Yes,Yes,45 X 40,4,3,Joka,2,5.1,283,New Property,Residential Land / Plot,1,1,0,7,1800
No,No,,1,,Thakurpukur,1,8,556,Resale,Residential Land / Plot,0,0,0,10,1440
Yes,Yes,45 X 48,5,3,Joka,2,5.9,273,New Property,Residential Land / Plot,1,1,0,7,2160
Yes,No,,0,3,Bansdroni,,9,417,Resale,Residential Land / Plot,0,0,0,,2160
Yes,Yes,45 X 32,5,3,Joka,2,7.8,542,New Property,Residential Land / Plot,1,1,0,8,1440
Yes,Yes,,1,Congo,Rajarhat,3,185,1762,Resale,Residential Land / Plot,0,0,0,10,10500
No,Yes,,4,,Joka,1,3,278,Resale,Residential Land / Plot,0,0,0,15,1080
No,Yes,40 X 36,4,5,New Town,2,22,1528,New Property,Residential Land / Plot,1,1,0,25,1440
Yes,Yes,45 X 48,6,3,Joka,2,11.7,542,New Property,Residential Land / Plot,1,1,0,7,2160
No,No,49 X 33.06,7,5,Action Area 3,1,95,5864,Resale,Residential Land / Plot,0,1,0,13,1620
No,Yes,,0,4,New Town,3,130,5556,Resale,Residential Land / Plot,1,0,0,18,2340
Yes,Yes,45 X 32,5,3,Joka,2,3.2,222,New Property,Residential Land / Plot,1,1,0,6,1440
No,No,,4,,Joka,1,13.5,625,Resale,Residential Land / Plot,0,0,0,18,2160
Yes,Yes,50 X 43.2,8,4,Joka,2,4.8,222,New Property,Residential Land / Plot,1,1,0,7,2160
No,No,,0,,Barasat,,40,2857,Resale,Residential Land / Plot,0,0,0,,1400
Yes,Yes,45 X 32,6,3,Joka,2,3.8,264,New Property,Residential Land / Plot,1,1,0,7,1440
No,No,,4,Congo,Madhyamgram,4,1000,1389,Resale,Residential Land / Plot,0,0,0,5,72000
No,No,11.99 X 6.67,11,,Joka,1,3.8,341,New Property,Residential Land / Plot,1,1,0,15,1100
No,No,,1,,"Narayanpur, Gopalpur Gram",1,17,1180,Resale,Residential Land / Plot,0,0,0,10,1440
Yes,No,2.15 X 966,3,1,Rajpur,2,18,833,Resale,Residential Land / Plot,0,0,0,2,2160
No,No,24 X 30,11,,Joka,1,2.6,360,New Property,Residential Land / Plot,1,1,0,25,720
No,No,,0,,Kakdwip,1,33,689,Resale,Residential Land / Plot,0,0,0,10,4791
Yes,Yes,36 X 40,0,3,"Amtala, Diamond Harbour Road",1,9.7,670,New Property,Residential Land / Plot,0,1,0,6,1440
Yes,Yes,18 X 40,2,3,Rajarhat,2,13.5,1875,New Property,Residential Land / Plot,1,0,0,6,720
No,No,,1,,Action Area 2,1,30,2609,Resale,Residential Land / Plot,0,0,0,10,1150
Yes,Yes,,1,4,Joka,2,7,324,Resale,Residential Land / Plot,0,0,0,20,2160
Yes,Yes,,4,4,Joka,2,9,313,Resale,Residential Land / Plot,0,0,0,23,2880
Yes,Yes,50 X 43.2,9,4,Joka,2,5.4,250,New Property,Residential Land / Plot,1,1,0,7,2160
Yes,Yes,50 X 28,4,,Joka,2,2,278,Resale,Residential Land / Plot,0,0,0,25,720
No,No,537 X 537,3,,Boral,1,160,1111,New Property,Residential Land / Plot,0,0,0,7,14400
No,No,,0,2,Birati,,40,1389,Resale,Residential Land / Plot,0,0,0,,2880
No,No,,1,,Habra,,19.5,1368,Resale,Residential Land / Plot,0,0,0,,1425
Yes,No,,0,3,Howrah,,34,680,Resale,Residential Land / Plot,0,0,0,,5000
Yes,No,13610 X 3,6,1,"Bishnupur, Mathurapur Road",1,150,367,Resale,Residential Land / Plot,0,0,0,2,40830
Yes,Yes,,0,4,Nayabad,4,125,3472,Resale,Residential Land / Plot,0,0,0,16,3600
Yes,No,,0,5,Madhyamgram,,120,1714,Resale,Residential Land / Plot,0,0,0,,7000
Yes,Yes,,0,4,Joka,1,12,556,Resale,Residential Land / Plot,0,0,0,20,2160
No,No,1120.83 X 120,0,1,Rajarhat,,500,372,New Property,Residential Land / Plot,0,0,0,,134500
Yes,Yes,50 X 43.2,6,4,Joka,2,6.6,306,New Property,Residential Land / Plot,1,1,0,7,2160
No,No,,0,1,Jojra,,900,694,Resale,Residential Land / Plot,0,0,0,,129600
No,No,16800 X 14400,5,12,Jojra,4,900,694,Resale,Residential Land / Plot,0,1,0,12,129600
Yes,No,,0,3,Madhyamgram,,3.6,333,Resale,Residential Land / Plot,0,0,0,,1080
No,Yes,,0,,Joka,1,8,556,Resale,Residential Land / Plot,0,0,0,2,1440
Yes,No,,0,4,Bangaon,,77,1528,Resale,Residential Land / Plot,0,0,0,,5040
Yes,Yes,50 X 28.8,8,4,Joka,2,4,278,New Property,Residential Land / Plot,1,1,0,7,1440
Yes,No,,0,5,Madhyamgram,,80,1684,Resale,Residential Land / Plot,0,0,0,,4752
No,No,,0,15,"Amrabati, Kasba",,300,3333,Resale,Residential Land / Plot,0,0,0,,9000
Yes,Yes,,0,2,Madhugarh,,385,694,Resale,Residential Land / Plot,0,0,0,,55440
No,No,,2,,Baidyabati,1,50,3333,Resale,Residential Land / Plot,0,0,0,10,1500
No,Yes,,9,3,Joka,2,12,89,Resale,Residential Land / Plot,0,0,0,16,13500
No,No,,0,,Nayabad,,100,3546,Resale,Residential Land / Plot,0,0,0,,2820
Yes,Yes,,0,6,Santragachi,,225,3900,Resale,Residential Land / Plot,0,0,0,,5769
Yes,Yes,,0,1,Barasat,,50,3472,Resale,Residential Land / Plot,0,0,0,,1440
No,No,65.6 X 49.2,0,4,Action Area 3,1,145,4490,Resale,Residential Land / Plot,0,0,0,13,3229
Yes,Yes,53.7 X 26.8,37,4,Rajarhat,2,21.6,1500,New Property,Residential Land / Plot,1,1,0,25,1440
Yes,Yes,18 X 40,4,3,Rajarhat,2,14,1944,New Property,Residential Land / Plot,1,1,0,6,720
Yes,No,,1,,Sarsuna,3,65,1806,Resale,Residential Land / Plot,0,1,0,12,3600
No,No,832 X 859,0,,Garia,,26,1806,Resale,Residential Land / Plot,0,0,0,,1440
Yes,Yes,,0,3,"Golf Green, Jadavpur",,250,3472,Resale,Residential Land / Plot,0,0,0,,7200
Yes,No,,0,3,Bishnupur,,65,3611,Resale,Residential Land / Plot,0,0,0,,1800
Yes,No,,0,,"Makhla, Uttarpara Kotrung, Uttarpara, Uttarpara",,500,2778,Resale,Residential Land / Plot,0,0,0,,18000
Yes,No,,0,,Canning,4,110,3056,Resale,Residential Land / Plot,0,0,0,10,3600
Yes,No,,0,3,Vip Road,,360,3571,Resale,Residential Land / Plot,0,0,0,,10080
No,No,,0,2,Hansia,3,7,530,Resale,Residential Land / Plot,0,0,0,10,1320
No,No,,0,3,Rahara,,70,1273,Resale,Residential Land / Plot,0,0,0,,5500
Yes,Yes,18 X 40,1,3,Rajarhat,2,13,1806,New Property,Residential Land / Plot,1,0,0,6,720
No,No,,4,Congo,Joka,1,6.5,361,Resale,Residential Land / Plot,0,0,0,20,1800
Yes,Yes,40 X 54,7,3,Action Area 3,1,30.6,1417,New Property,Residential Land / Plot,0,1,0,10,2160
Yes,No,,0,1,"Amtala, Diamond Harbour Road",,15,1042,Resale,Residential Land / Plot,0,0,0,,1440
No,No,,2,Congo,Birati,1,160,2778,Resale,Residential Land / Plot,0,0,0,2,5761
Yes,No,,1,4,Chinsurah,,24,833,Resale,Residential Land / Plot,0,0,0,,2880
Yes,Yes,36 X 40,8,3,Action Area 3,1,20.4,1417,New Property,Residential Land / Plot,1,0,0,10,1440
No,No,,0,3,Khardaha,3,26,1806,Resale,Residential Land / Plot,0,0,0,12,1440
Yes,Yes,,0,,Baruipur,2,25,1157,Resale,Residential Land / Plot,0,0,0,9,2160
No,Yes,30 X 30,48,,Rajarhat,2,15,1667,Resale,Residential Land / Plot,0,0,0,15,900
No,No,,2,Congo,"Debpukur, Barrackpore",1,10,694,Resale,Residential Land / Plot,0,0,0,4,1440
No,Yes,50 X 14.4,13,4,Joka,2,3.8,528,New Property,Residential Land / Plot,1,1,0,10,720
Yes,Yes,45 X 40,5,5,Action Area 3,2,25.5,1417,New Property,Residential Land / Plot,1,0,0,30,1800
Yes,Yes,50 X 21.6,9,4,Joka,2,5.6,519,New Property,Residential Land / Plot,1,1,0,10,1080
No,Yes,,2,,Madhyamgram,,5,278,Resale,Residential Land / Plot,0,0,0,,1800
No,No,60 X 60,4,,New Town,1,125,3472,Resale,Residential Land / Plot,0,1,0,10,3600
No,No,66 X 48.79,7,5,Action Area 3,2,180,5590,Resale,Residential Land / Plot,1,1,0,13,3220
No,No,49 X 33.06,7,5,Action Area 3,2,95,5864,Resale,Residential Land / Plot,0,1,0,13,1620
Yes,Yes,24 X 30,10,3,Action Area 3,2,10.2,1417,New Property,Residential Land / Plot,0,1,0,10,720
Yes,No,,0,4,"Chit Kalikapur, Mukundapur",,270,1974,Resale,Residential Land / Plot,0,0,0,,13680
No,No,45 X 32,1,Congo,"Tollygunge, Karunamoyee",1,38,2639,Resale,Residential Land / Plot,0,0,0,10,1440
Yes,Yes,45 X 32,10,5,Rajarhat,2,23,1597,New Property,Residential Land / Plot,1,1,0,30,1440
Yes,Yes,17 X 17,4,5,"Desh Bandhu Nagar, Baguiati",2,70,2692,Resale,Residential Land / Plot,0,1,0,10,2600
Yes,No,,1,,Tangra,1,45,3125,Resale,Residential Land / Plot,0,0,0,1,1440
No,No,,0,,Hatiara,,100,2315,Resale,Residential Land / Plot,0,0,0,,4320
No,Yes,,3,,Joka,1,12.5,579,Resale,Residential Land / Plot,0,0,0,20,2160
No,No,,0,1,Shibrampur,,12,1333,Resale,Residential Land / Plot,0,0,0,,900
