boundary,construction,dimensions,fig_count,floor,location,open_sides,price,price_per_sqft,transaction,type,garden_park,main_road,pool,width_road,area
No,No,,13,,Thakurpukur,,8,460,Resale,Residential Land / Plot,0,0,0,,1740
Yes,No,,0,5,Rajpur Sonarpur,4,180,669,Resale,Residential Land / Plot,0,0,0,9,14400
No,No,,0,1,Joka,,30,1389,Resale,Residential Land / Plot,0,0,0,,2160
No,No,,2,,Madhyamgram,2,450,3472,New Property,Residential Land / Plot,0,0,0,20,12960
No,No,,0,,Salt Lake City,,125,1929,New Property,Residential Land / Plot,0,0,0,,6481
No,No,62 X 38,1,,Shyamnagar,3,18,778,Resale,Residential Land / Plot,0,0,0,18,2313
No,No,24 X 30.21,2,,Joka,2,3.8,524,New Property,Residential Land / Plot,1,1,0,10,725
No,No,48 X 30,0,,Joka,1,2.8,194,Resale,Residential Land / Plot,0,0,0,7,1440
No,No,,0,,"Golf Green, Jadavpur",,960,2083,Resale,Residential Land / Plot,0,0,0,,46080
No,Yes,45 X 32,2,4,Rajarhat,3,14.8,1028,New Property,Residential Land / Plot,1,1,0,10,1440
No,Yes,45 X 32,3,4,Rajarhat,3,14.8,1031,New Property,Residential Land / Plot,1,1,0,10,1440
Yes,Yes,60 X 60,5,4,Action Area 3,1,60.5,1681,New Property,Residential Land / Plot,1,1,0,8,3600
No,Yes,45 X 32,2,4,Rajarhat,3,14.8,1028,New Property,Residential Land / Plot,1,1,0,10,1440
Yes,Yes,60 X 60,6,4,Action Area 3,1,62,1722,New Property,Residential Land / Plot,1,1,0,8,3600
Yes,Yes,40 X 45,6,3,Action Area 3,1,30.8,1708,New Property,Residential Land / Plot,1,1,0,9,1800
No,Yes,45 X 32,2,4,Rajarhat,3,14.8,1029,New Property,Residential Land / Plot,1,1,0,10,1440
No,Yes,24 X 30,13,,Joka,1,3,417,Resale,Residential Land / Plot,1,1,0,20,720
No,No,,0,3,Anandapur,,15,417,Resale,Residential Land / Plot,0,0,0,,3600
Yes,No,,0,4,Habra,,27,1250,Resale,Residential Land / Plot,0,0,0,,2160
Yes,No,,0,3,"Silpara, Purba Barisha",,30,2083,Resale,Residential Land / Plot,0,0,0,,1440
Yes,Yes,,0,,Hati Bagan,,80,926,Resale,Residential Land / Plot,0,0,0,,8641
No,No,68 X 35.74,6,,Rajarhat,2,39,1605,Resale,Residential Land / Plot,0,1,0,5,2430
No,No,22 X 20,3,3,"Amtala, Diamond Harbour Road",4,7,648,Resale,Residential Land / Plot,0,0,0,7,1080
Yes,No,,0,5,"Palta, Barrackpore",4,30,694,Resale,Residential Land / Plot,0,1,0,2,4320
No,No,,1,Congo,Sonarpur,1,16,1067,Resale,Residential Land / Plot,0,0,0,10,1500
No,Yes,24 X 30,9,,Thakurpukur,1,9,625,New Property,Residential Land / Plot,1,1,0,30,1440
No,No,,1,,Duttapukur,3,50,2000,Resale,Residential Land / Plot,0,0,0,10,2500
No,No,,3,,"Silpara, Purba Barisha",2,30,1887,Resale,Residential Land / Plot,0,0,0,2,1590
Yes,No,,0,,Sodepur,,3000,4167,Resale,Residential Land / Plot,0,0,0,,72000
No,No,,0,3,Bally,2,35,1389,Resale,Residential Land / Plot,0,0,0,10,2520
Yes,No,,2,1,Joka,2,10,77,Resale,Residential Land / Plot,0,0,0,24,12960
No,No,,3,Congo,Thakurpukur,3,2.7,188,Resale,Residential Land / Plot,0,0,0,25,1440
Yes,No,,0,4,Sonarpur,,100,2778,Resale,Residential Land / Plot,0,0,0,,3600
No,No,,0,,Sonarpur,4,11.9,413,Resale,Residential Land / Plot,0,0,0,10,2880
No,No,,1,,Sodepur,2,30,1389,Resale,Residential Land / Plot,0,0,0,12,2160
No,No,24 X 30.08,13,,Joka,1,2.7,373,New Property,Residential Land / Plot,1,1,0,10,722
Yes,No,,1,3,Behala,1,57,2639,New Property,Residential Land / Plot,0,0,0,7,2160
No,No,84.99 X 48.24,3,1,Ashoknagar,3,25,610,Resale,Residential Land / Plot,1,0,0,10,4100
No,Yes,,5,,Joka,1,3.6,250,Resale,Residential Land / Plot,0,0,0,15,1440
Yes,No,,3,5,Chakdaha,3,200,2525,Resale,Residential Land / Plot,0,0,0,10,7920
Yes,No,,1,4,Thakurpukur,,16,1111,Resale,Residential Land / Plot,0,1,0,,1440
Yes,No,56 X 50.2,0,3,Rajpur Sonarpur,2,75,2668,Resale,Residential Land / Plot,0,1,0,6,2811
No,No,,0,Congo,Howrah,2,20,2500,Resale,Residential Land / Plot,0,0,0,9,800
No,No,,0,,Shyamnagar,1,18,778,Resale,Residential Land / Plot,0,0,0,10,2313
Yes,No,1798 X 1.07,3,1,"Sakher Bazar, Purba Barisha",2,70,3241,Resale,Residential Land / Plot,0,0,0,4,2160
Yes,No,,0,4,Hindmotor,,18,1250,Resale,Residential Land / Plot,0,0,0,,1440
No,No,,0,1,Sonarpur,,9,357,Resale,Residential Land / Plot,0,0,0,,2520
No,No,,0,5,Madhyamgram,,90,2083,Resale,Residential Land / Plot,0,0,0,,4320
Yes,No,,0,2,Thakurpukur,2,30,1361,Resale,Residential Land / Plot,0,0,0,3,2205
Yes,No,,2,10,Shyamnagar,1,59,2731,Resale,Residential Land / Plot,0,0,0,200,2160
No,No,,0,,Garia,,75,2885,Resale,Residential Land / Plot,0,1,0,,2600
No,No,,0,Congo,Baruipur,1,16,556,Resale,Residential Land / Plot,0,0,0,10,2880
Yes,No,,0,6,Roy Bahadur Road,,200,2857,Resale,Residential Land / Plot,0,0,0,,7000
No,No,40 X 54,2,,Pailan,3,21,972,New Property,Residential Land / Plot,0,1,0,7,2160
Yes,Yes,45 X 32,5,3,Joka,2,4.6,319,New Property,Residential Land / Plot,1,1,0,6,1440
No,Yes,,6,,Joka,2,5.5,382,Resale,Residential Land / Plot,0,0,0,20,1440
Yes,Yes,45 X 48,5,3,Joka,2,6.9,319,New Property,Residential Land / Plot,1,1,0,6,2160
No,No,,1,,Joka,1,5.4,250,Resale,Residential Land / Plot,0,0,0,18,2160
Yes,No,250 X 5.76,0,1,Maheshtala,1,18.5,1285,Resale,Residential Land / Plot,0,0,0,16,1440
No,Yes,24 X 30.21,12,,Joka,2,8.5,472,New Property,Residential Land / Plot,1,1,0,15,1800
No,No,,0,4,Tollygunge,1,70,2414,Resale,Residential Land / Plot,0,0,0,5,2900
No,No,,0,3,"Kanchrapara, Haringhata Road",,1.8,125,Resale,Residential Land / Plot,0,0,0,,1440
Yes,Yes,,4,,Rajarhat,,22.5,1562,Resale,Residential Land / Plot,0,0,0,,1440
Yes,No,,0,4,"Mohan Pur, Barrackpore",,26,1204,Resale,Residential Land / Plot,0,0,0,,2160
Yes,No,,0,3,Sonarpur,2,35,935,Resale,Residential Land / Plot,0,0,0,2,3742
Yes,Yes,,0,1,Kanchrapara,,120,2667,Resale,Residential Land / Plot,0,0,0,,4500
No,No,,0,1,Lake Town,,9,1299,Resale,Residential Land / Plot,0,0,0,,693
Yes,Yes,,0,4,Sodepur,,95,1885,Resale,Residential Land / Plot,0,0,0,,5040
Yes,Yes,,0,2,Howrah,1,60,4166,Resale,Residential Land / Plot,0,0,0,10,1440
No,No,,0,,Sonarpur,1,8,444,Resale,Residential Land / Plot,0,0,0,10,1800
Yes,No,,0,6,Santoshpur,,500,694,Resale,Residential Land / Plot,0,0,0,,72000
Yes,Yes,53.7 X 26.8,0,2,Action Area 3,2,26,1806,New Property,Residential Land / Plot,0,0,0,15,1440
Yes,Yes,,0,1,Lake Town,,9,1299,Resale,Residential Land / Plot,0,0,0,,693
Yes,No,,8,,Rajpur Sonarpur,1,17.4,800,Resale,Residential Land / Plot,0,0,0,10,2176
No,No,,0,3,"Kanchrapara, Haringhata Road",1,18,1250,Resale,Residential Land / Plot,0,0,0,10,1440
No,No,,1,6,Habra,4,390,695,Resale,Residential Land / Plot,0,0,0,10,56170
Yes,No,,0,,Nayabad,1,50,2778,Resale,Residential Land / Plot,0,1,0,7,1800
No,No,56 X 45,7,4,Rajarhat,2,56,2222,Resale,Residential Land / Plot,1,1,0,7,2520
No,Yes,24 X 30,10,,Joka,1,2.4,326,New Property,Residential Land / Plot,1,1,0,15,720
Yes,Yes,32 X 45,1,5,Action Area 3,2,21,1458,New Property,Residential Land / Plot,1,1,0,33,1440
No,No,,1,4,Dankuni,,30,2778,Resale,Residential Land / Plot,0,0,0,,1080
Yes,No,,0,2,Ramrajatala,,25,3374,Resale,Residential Land / Plot,0,0,0,,741
Yes,Yes,53.7 X 40.2,1,5,New Town,2,21,972,New Property,Residential Land / Plot,1,1,0,33,2160
Yes,Yes,53.7 X 40.2,2,2,Action Area 3,2,35.4,1639,New Property,Residential Land / Plot,0,0,0,15,2160
Yes,Yes,53.7 X 26.8,2,2,Action Area 3,2,25,1736,New Property,Residential Land / Plot,0,0,0,15,1440
Yes,Yes,,2,4,Nayabad,1,125,3472,Resale,Residential Land / Plot,1,0,0,20,3600
Yes,Yes,,0,5,Howrah,2,24,833,Resale,Residential Land / Plot,0,0,0,4,2880
Yes,No,,0,3,Barasat,1,20,1389,Resale,Residential Land / Plot,0,0,0,2,1440
No,No,45 X 32,5,Congo,Action Area 3,4,27,1875,New Property,Residential Land / Plot,1,1,0,8,1440
Yes,Yes,32 X 37,1,2,"Ramchandrapur, Narendrapur",2,20,1689,Resale,Residential Land / Plot,0,1,0,8,1184
No,No,,0,2,Sonarpur,,100,3473,Resale,Residential Land / Plot,0,0,0,,2880
No,Yes,24 X 30,12,,Joka,1,2.8,382,New Property,Residential Land / Plot,1,0,0,20,720
Yes,No,1.95 X 738.46,0,4,Nepalgange Julpia Road,4,6,417,Resale,Residential Land / Plot,0,1,0,26,1440
Yes,Yes,,0,,Nayabad,2,50,386,Resale,Residential Land / Plot,0,1,0,20,12960
Yes,Yes,,0,1,New Town,,35,2059,Resale,Residential Land / Plot,0,0,0,,1700
Yes,Yes,,0,3,Action Area 3,1,30,2083,Resale,Residential Land / Plot,0,0,0,8,1440
Yes,Yes,,0,3,Action Area 3,2,14,1944,Resale,Residential Land / Plot,0,0,0,8,720
Yes,No,,0,4,Baruipur,2,27,625,Resale,Residential Land / Plot,0,0,0,5,4320
No,No,,6,,"Bandel, Chinsurah",3,88,1200,Resale,Residential Land / Plot,0,0,0,10,7335
No,No,,6,1,Chakdaha,2,135,2083,Resale,Residential Land / Plot,0,0,0,15,6480
Yes,No,,0,3,Baruipur,,30,1389,Resale,Residential Land / Plot,0,0,0,,2160
Yes,Yes,45 X 32,7,3,Action Area 3,2,28,1944,New Property,Residential Land / Plot,1,1,0,10,1440
Yes,No,,0,3,Baruipur,,30,1389,Resale,Residential Land / Plot,0,0,0,,2160
No,No,,7,,Jagatdal,,20,1034,New Property,Residential Land / Plot,0,1,0,,1935
Yes,Yes,45 X 80,4,3,Action Area 3,4,36,1000,New Property,Residential Land / Plot,1,1,0,8,3600
Yes,No,,0,4,"New Garia, Garia",,125,386,Resale,Residential Land / Plot,0,0,0,,32400
Yes,No,,1,1,"Chandannagar, Hooghly-Chinsurah",,25,735,Resale,Residential Land / Plot,0,0,0,,3402
Yes,Yes,,0,5,"Bauria, Howrah",4,70,583,Resale,Residential Land / Plot,0,0,0,300,12000
No,No,,0,3,Hooghly,,14,972,Resale,Residential Land / Plot,0,0,0,,1440
Yes,Yes,53.7 X 26.8,3,2,New Town,2,25.5,1771,New Property,Residential Land / Plot,1,1,0,15,1440
No,No,45 X 32,4,Congo,Action Area 3,4,26,1806,New Property,Residential Land / Plot,1,1,0,7,1440
Yes,No,,0,,Andul,1,40,1111,New Property,Residential Land / Plot,0,0,0,10,3600
Yes,Yes,,7,5,Nimta,,160,2667,Resale,Residential Land / Plot,0,0,0,,6000
Yes,No,,6,,Sonarpur,,28,1945,Resale,Residential Land / Plot,0,0,0,,1440
Yes,Yes,45 X 32,5,3,Joka,2,4,278,New Property,Residential Land / Plot,1,1,0,7,1440
No,No,,2,,Muragachha,,400,743,Resale,Residential Land / Plot,0,0,0,,28800
Yes,Yes,199.8 X 50.45,1,1,Bakkhali,1,180,1786,Resale,Residential Land / Plot,0,1,0,5,10080
No,No,,1,Congo,Thakurpukur,1,19,880,Resale,Residential Land / Plot,0,0,0,10,2160
No,No,42 X 25,0,2,"Kalua, Joka",1,7.5,694,Resale,Residential Land / Plot,0,0,0,3,1080
Yes,Yes,45 X 48,5,3,Joka,3,3.7,171,New Property,Residential Land / Plot,1,1,0,7,2160
No,Yes,40 X 45,19,,Joka,2,2.4,323,New Property,Residential Land / Plot,1,1,0,10,727
No,No,,1,4,Action Area 3,1,23,639,Resale,Residential Land / Plot,1,1,0,13,3600
Yes,No,40 X 52.5,1,5,Salt Lake City,4,75,3571,Resale,Residential Land / Plot,1,1,0,6,2100
Yes,Yes,,0,4,"Amtala, Diamond Harbour Road",,36,833,Resale,Residential Land / Plot,0,0,0,,4320
Yes,No,,0,4,New Town,4,150,5209,Resale,Residential Land / Plot,0,0,0,5,2880
Yes,No,,2,4,"Narendrapur, Rajpur Sonarpur",,65,1806,Resale,Residential Land / Plot,0,0,0,,3600
Yes,Yes,80.8 X 35.7,0,5,Action Area 3,2,32,1111,New Property,Residential Land / Plot,1,1,0,10,2880
Yes,No,,0,3,Birati,,60,1470,Resale,Residential Land / Plot,0,0,0,,4083
Yes,Yes,45 X 48,5,3,Joka,2,3.8,176,New Property,Residential Land / Plot,1,1,0,7,2160
Yes,Yes,45 X 48,5,3,Joka,2,6,278,New Property,Residential Land / Plot,1,1,0,7,2160
Yes,No,,3,3,"Bauria, Howrah",,35,972,Resale,Residential Land / Plot,0,0,0,,3600
Yes,No,,0,3,Basirhat,,2000,694,Resale,Residential Land / Plot,0,0,0,,288000
No,No,,0,3,Basirhat,,3200,1587,Resale,Residential Land / Plot,0,0,0,,201600
No,No,60 X 46.67,4,,"Makhla, Uttarpara Kotrung, Uttarpara",3,40,1429,Resale,Residential Land / Plot,0,0,0,3,2800
No,No,,1,3,Sodepur,4,10.5,729,Resale,Residential Land / Plot,0,0,0,10,1440
Yes,Yes,18 X 40,0,3,Action Area 3,2,13.5,1875,New Property,Residential Land / Plot,0,1,0,10,720
No,No,,1,,Rishra,2,55,1000,Resale,Residential Land / Plot,0,0,0,10,5500
Yes,No,,2,,Shyamnagar,,12,1026,Resale,Residential Land / Plot,0,0,0,,1170
Yes,No,,0,,Rajarhat,,38,2639,Resale,Residential Land / Plot,0,0,0,,1440
Yes,No,53.7 X 53.7,0,4,Rajarhat,2,90,3125,New Property,Residential Land / Plot,1,1,0,30,2880
Yes,No,38 X 28,0,,Nayabad,2,42,3889,Resale,Residential Land / Plot,0,1,0,6,1080
Yes,No,45 X 40,6,3,Joka,2,5,278,New Property,Residential Land / Plot,1,1,0,7,1800
Yes,Yes,,0,3,Bansdroni,,20,1111,Resale,Residential Land / Plot,0,0,0,,1800
No,Yes,48 X 30,3,3,Joka,3,4.6,319,Resale,Residential Land / Plot,1,0,0,18,1440
Yes,No,,0,3,Khardaha,,25,1736,Resale,Residential Land / Plot,0,0,0,,1440
Yes,No,,0,6,Kona Expressway,,960,2222,Resale,Residential Land / Plot,0,0,0,,43200
Yes,Yes,53.7 X 26.8,2,2,New Town,2,26.5,1840,New Property,Residential Land / Plot,1,1,0,15,1440
Yes,Yes,18 X 40,4,3,Lauhati,2,12,1667,New Property,Residential Land / Plot,0,1,0,6,720
Yes,Yes,36 X 40,3,3,Lauhati,2,24.5,1701,New Property,Residential Land / Plot,0,1,0,6,1440
Yes,No,1.88 X 1181,0,1,Paschim Chowbaga,,40.5,1875,Resale,Residential Land / Plot,0,0,0,,2160
No,No,23 X 31.35,13,,Joka,1,5,345,New Property,Residential Land / Plot,1,1,0,30,1450
No,No,,6,,Thakurpukur,4,29,1915,Resale,Residential Land / Plot,0,0,0,10,1514
Yes,Yes,53.7 X 26.8,2,2,New Town,2,25.5,1771,New Property,Residential Land / Plot,1,1,0,15,1440
Yes,Yes,53.7 X 26.8,24,2,Action Area 3,2,25.5,1771,New Property,Residential Land / Plot,1,1,0,15,1440
No,No,,1,2,Birati,,13,1083,Resale,Residential Land / Plot,0,0,0,,1200
Yes,Yes,,0,4,Khardaha,,30,694,Resale,Residential Land / Plot,0,0,0,,4320
Yes,No,,2,1,Konnagar,,15.5,718,Resale,Residential Land / Plot,0,0,0,,2160
Yes,Yes,,1,5,Action Area 3,2,11,688,Resale,Residential Land / Plot,0,0,0,20,1600
No,No,,12,,Birati,4,15,521,Resale,Residential Land / Plot,0,0,0,10,2880
No,No,,0,1,"Domjur, Howrah",1,12,833,Resale,Residential Land / Plot,0,0,0,5,1440
Yes,Yes,,0,3,Garia,2,38,293,Resale,Residential Land / Plot,0,1,0,10,12960
Yes,No,30 X 24,3,3,Joka,4,1,139,New Property,Residential Land / Plot,1,1,0,8,720
No,No,30 X 25,1,,New Town,1,95,5864,Resale,Residential Land / Plot,0,1,0,13,1620
Yes,Yes,32 X 45,5,3,Action Area 3,1,24.6,1708,New Property,Residential Land / Plot,1,1,0,9,1440
No,No,,0,5,South 24 Parganas,,15,306,Resale,Residential Land / Plot,0,0,0,,4900
Yes,Yes,32 X 45,6,3,Action Area 3,1,25.2,1750,New Property,Residential Land / Plot,1,1,0,10,1440
Yes,No,,2,3,Belghoria,2,34,3778,Resale,Residential Land / Plot,0,0,0,3,900
Yes,Yes,40 X 45,3,3,Action Area 3,1,31.5,1750,New Property,Residential Land / Plot,1,1,0,10,1800
Yes,Yes,45 X 48,3,3,Action Area 3,1,37.8,1750,New Property,Residential Land / Plot,1,1,0,10,2160
No,No,,0,4,Shibrampur,,150,372,Resale,Residential Land / Plot,0,0,0,,40320
Yes,No,30 X 24,7,3,Diamond Harbour Road,4,1,139,New Property,Residential Land / Plot,1,1,0,8,720
Yes,Yes,45 X 48,6,3,Action Area 3,1,36.9,1708,New Property,Residential Land / Plot,1,1,0,9,2160
Yes,Yes,32 X 45,8,3,Action Area 3,1,24.8,1722,New Property,Residential Land / Plot,1,1,0,8,1440
Yes,Yes,,0,3,Garia,,15,370,Resale,Residential Land / Plot,0,0,0,,4050
No,No,,1,7,Action Area 3,3,42,1167,Resale,Residential Land / Plot,0,0,0,35,3600
Yes,Yes,,4,4,Madhyamgram,,13,752,Resale,Residential Land / Plot,0,0,0,,1728
Yes,Yes,60 X 60,58,2,Pailan,2,35,972,Resale,Residential Land / Plot,0,0,0,4,3600
Yes,Yes,,1,4,"Ajoy Nagar, Santoshpur",2,300,1852,Resale,Residential Land / Plot,0,0,0,20,16200
No,No,,0,,Tara,,200,278,Resale,Residential Land / Plot,0,1,0,,72010
No,No,,0,3,Sodepur,,14,1750,Resale,Residential Land / Plot,0,0,0,,800
No,No,,8,3,Barasat,,16,1103,Resale,Residential Land / Plot,0,0,0,,1450
No,No,,0,3,Sonarpur,,12,556,Resale,Residential Land / Plot,0,0,0,,2160
Yes,No,,0,,Ranaghat,,60,3000,Resale,Residential Land / Plot,0,0,0,,2000
Yes,No,52.38 X 21,0,3,Duillya,,16,1455,Resale,Residential Land / Plot,0,0,0,,1100
Yes,No,,0,5,Serampore,,160,2778,Resale,Residential Land / Plot,0,0,0,,5761
Yes,Yes,48 X 60,4,4,Action Area 3,2,50.4,1750,New Property,Residential Land / Plot,1,1,0,10,2880
Yes,Yes,60 X 60,3,4,Action Area 3,1,63,1750,New Property,Residential Land / Plot,1,1,0,10,3600
No,No,,4,,Barrackpore,,65,3824,New Property,Residential Land / Plot,0,1,0,,1700
No,No,,0,Congo,Madhyamgram,4,29.9,1384,Resale,Residential Land / Plot,0,0,0,10,2160
Yes,No,90 X 180,1,1,"Arjunpur, Kaikhali",1,62.5,386,Resale,Residential Land / Plot,0,0,0,10,16200
Yes,No,,4,1,Baruipur,4,210,1458,New Property,Residential Land / Plot,1,1,0,10,14400
No,No,,0,,Action Area 2,1,110,3045,Resale,Residential Land / Plot,0,0,0,12,3612
Yes,No,30 X 72,5,,Action Area 3,2,42,1944,New Property,Residential Land / Plot,1,0,0,8,2160
Yes,No,53.7 X 80.5,0,3,New Town,2,240,5555,Resale,Residential Land / Plot,1,1,0,10,4320
No,No,,0,3,Joka,,5,347,Resale,Residential Land / Plot,0,0,0,,1440
No,No,45 X 48,3,,Joka,1,5.6,259,New Property,Residential Land / Plot,1,1,0,30,2160
No,No,,0,,Jhautala,,13,903,Resale,Residential Land / Plot,0,0,0,,1440
Yes,Yes,,0,4,"Bandel, Chinsurah",3000,27,900,Resale,Residential Land / Plot,0,0,0,3000,3000
Yes,No,,1,,"Mission Pally, Narendrapur",2,18,1667,Resale,Residential Land / Plot,0,0,0,500,1080
Yes,No,,0,3,Khardaha,,50,1050,Resale,Residential Land / Plot,0,0,0,,4763
No,No,24 X 30,5,,Joka,2,3.5,485,Resale,Residential Land / Plot,0,0,0,15,720
No,No,,3,,Joka,2,7.5,521,Resale,Residential Land / Plot,0,0,0,15,1440
No,No,,2,1,Mankundu,,100,992,Resale,Residential Land / Plot,0,0,0,,10080
Yes,No,105 X 123,0,2,Action Area 3,2,11.3,87,Resale,Residential Land / Plot,0,1,0,10,12960
No,No,,0,Congo,Madhyamgram,3,140,809,Resale,Residential Land / Plot,0,0,0,4,17300
Yes,Yes,40 X 45,5,3,Action Area 3,1,31,1722,New Property,Residential Land / Plot,1,1,0,8,1800
Yes,Yes,45 X 48,8,3,Action Area 3,1,37.2,1722,New Property,Residential Land / Plot,1,1,0,8,2160
Yes,Yes,48 X 60,6,3,Action Area 3,1,49.6,1722,New Property,Residential Land / Plot,1,1,0,8,2880
No,Yes,,0,3,Hindmotor,,50,3472,Resale,Residential Land / Plot,0,0,0,,1440
Yes,No,,0,,Parui Mauza,1,45,2500,Resale,Residential Land / Plot,0,0,0,10,1800
Yes,No,30 X 24,7,3,"Diamond Park, Joka",4,1,139,New Property,Residential Land / Plot,1,1,0,8,720
Yes,No,24 X 30,6,3,Joka,4,1.3,181,New Property,Residential Land / Plot,1,1,0,10,720
No,No,49 X 33.06,6,5,Action Area 3,1,95,5864,Resale,Residential Land / Plot,0,1,0,13,1620
Yes,Yes,50 X 35.2,1,4,Rajarhat,2,25.2,1430,New Property,Residential Land / Plot,1,1,0,25,1760
Yes,No,,2,1,Khardaha,,26,890,Resale,Residential Land / Plot,0,0,0,,2920
Yes,No,,0,3,Madhyamgram,,15,1500,Resale,Residential Land / Plot,0,0,0,,1000
Yes,No,30 X 24,7,3,"Diamond Park, Joka",4,1,139,New Property,Residential Land / Plot,1,1,0,8,720
Yes,No,30 X 24,5,3,Bhasa,4,1,139,New Property,Residential Land / Plot,1,1,0,8,720
No,Yes,,3,3,Batanagar,,80,585,Resale,Residential Land / Plot,0,0,0,,13680
Yes,Yes,48 X 60,6,4,Action Area 3,1,49.2,1708,New Property,Residential Land / Plot,1,1,0,9,2880
Yes,Yes,60 X 60,6,4,Action Area 3,1,61.5,1708,New Property,Residential Land / Plot,1,1,0,9,3600
No,Yes,337.99 X 120.36,0,3,"Bidhanpally, Madhyamgram",4,412,1013,Resale,Residential Land / Plot,0,1,0,5,40680
No,No,,5,,Boral,,26,1806,Resale,Residential Land / Plot,0,0,0,,1440
No,Yes,45 X 32,1,4,Rajarhat,3,14.8,1028,New Property,Residential Land / Plot,1,1,0,10,1440
Yes,No,,0,3,Howrah,,45,4065,Resale,Residential Land / Plot,0,0,0,,1107
Yes,No,24 X 30,10,3,Joka,4,1,139,New Property,Residential Land / Plot,1,1,0,8,720
No,Yes,45 X 32,3,4,Rajarhat,3,14.9,1031,New Property,Residential Land / Plot,1,1,0,10,1440
Yes,Yes,,0,,Rajarhat,,8,111,Resale,Residential Land / Plot,0,0,0,,7201
Yes,No,,0,3,Garia,,70,1944,Resale,Residential Land / Plot,0,0,0,,3600
Yes,No,,0,3,Behala,,5,347,Resale,Residential Land / Plot,0,0,0,,1440
Yes,Yes,,0,3,Pailan,,11,611,Resale,Residential Land / Plot,0,0,0,,1800
Yes,Yes,50 X 33.2,3,4,Rajarhat,2,23.5,1413,New Property,Residential Land / Plot,1,1,0,10,1660
Yes,No,66.2 X 55.06,0,5,Sonarpur,1,92,2524,Resale,Residential Land / Plot,0,0,0,13,3645
Yes,Yes,,0,3,Action Area 3,2,25,1736,Resale,Residential Land / Plot,0,0,0,10,1440
No,No,24 X 30,2,Congo,Joka,2,4.3,591,New Property,Residential Land / Plot,1,1,0,20,720
No,No,45 X 32,6,,Joka,1,6.8,472,New Property,Residential Land / Plot,1,1,0,20,1440
No,No,45 X 40,3,,Joka,2,5.8,319,New Property,Residential Land / Plot,1,1,0,20,1800
No,No,24 X 30,6,,Bishnupur,1,3.5,486,New Property,Residential Land / Plot,1,1,0,25,720
No,No,32 X 22.5,8,,Joka,2,3.5,485,New Property,Residential Land / Plot,1,1,0,18,720
Yes,Yes,,0,3,New Town,4,34.5,1597,Resale,Residential Land / Plot,0,1,0,7,2160
Yes,No,44 X 27,4,,Nayabad,1,35,2946,Resale,Residential Land / Plot,0,0,0,20,1188
Yes,Yes,,3,,Barrackpore,2,9,529,Resale,Residential Land / Plot,0,1,0,80,1700
Yes,Yes,,0,3,North 24 Parganas,,8,741,Resale,Residential Land / Plot,0,0,0,,1080
Yes,Yes,53.7 X 26.8,24,2,Action Area 3,2,23,1597,New Property,Residential Land / Plot,1,1,0,15,1440
Yes,No,,9,6,Baruipur,,16,556,Resale,Residential Land / Plot,0,0,0,,2880
Yes,Yes,53.7 X 40.2,2,3,Action Area 3,2,33.3,1539,New Property,Residential Land / Plot,1,1,0,15,2160
Yes,No,,0,4,Nayabad,,50,3472,Resale,Residential Land / Plot,0,0,0,,1440
Yes,No,,0,4,Naihati,,12.6,1111,Resale,Residential Land / Plot,0,0,0,,1135
No,Yes,,0,5,Madhyamgram,,900,2500,Resale,Residential Land / Plot,0,0,0,,36000
Yes,Yes,2 X 540,24,3,Action Area 3,2,19.5,1806,New Property,Residential Land / Plot,1,1,0,15,1080
No,No,,0,1,Satpukur,,9.5,660,Resale,Residential Land / Plot,0,0,0,,1440
Yes,Yes,53.7 X 40.2,1,3,Action Area 3,2,35,1620,New Property,Residential Land / Plot,1,1,0,15,2160
Yes,No,,0,6,Baruipur,,36,833,Resale,Residential Land / Plot,0,0,0,,4320
Yes,No,,0,,Duttapukur,1,300,2000,Resale,Residential Land / Plot,0,0,0,3,15000
No,No,30 X 36,6,Congo,Action Area 3,1,12.8,1185,New Property,Residential Land / Plot,0,1,0,6,1080
